tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
622,2018-07-02 08:52:06.935000,2018-07-02 09:02:29.656000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,2700,Subscriber,1982,2
476,2018-07-02 16:34:58.177000,2018-07-02 16:42:54.564000,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2202,Subscriber,1982,2
1047,2018-07-03 08:52:20.921000,2018-07-03 09:09:48.107000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,2780,Subscriber,1976,2
691,2018-07-03 15:08:00.675000,2018-07-03 15:19:32.603000,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2567,Subscriber,1976,2
435,2018-07-05 08:23:26.448000,2018-07-05 08:30:41.523000,49,Stuart St at Charles St,42.351146,-71.066289,23,Boston City Hall - 28 State St,42.35892,-71.057629,3159,Subscriber,1983,2
439,2018-07-05 17:05:06.600000,2018-07-05 17:12:26.194000,23,Boston City Hall - 28 State St,42.35892,-71.057629,49,Stuart St at Charles St,42.351146,-71.066289,2631,Subscriber,1983,2
466,2018-07-06 07:39:07.764000,2018-07-06 07:46:53.994000,49,Stuart St at Charles St,42.351146,-71.066289,23,Boston City Hall - 28 State St,42.35892,-71.057629,2348,Subscriber,1983,2
427,2018-07-06 16:51:53.782000,2018-07-06 16:59:00.877000,23,Boston City Hall - 28 State St,42.35892,-71.057629,49,Stuart St at Charles St,42.351146,-71.066289,2495,Subscriber,1983,2
521,2018-07-09 10:40:47.387000,2018-07-09 10:49:28.495000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,1581,Subscriber,1982,2
569,2018-07-09 17:19:07.638000,2018-07-09 17:28:37.480000,13,Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,788,Subscriber,1982,2
612,2018-07-10 08:26:50.333000,2018-07-10 08:37:03.140000,36,Copley Square - Dartmouth St at Boylston St,42.34993463611888,-71.07738554477692,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2834,Subscriber,1982,2
587,2018-07-10 17:42:45.636000,2018-07-10 17:52:33.483000,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,36,Copley Square - Dartmouth St at Boylston St,42.34993463611888,-71.07738554477692,3067,Subscriber,1982,2
1557,2018-07-10 16:22:09.081000,2018-07-10 16:48:06.955000,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,1044,Subscriber,1978,2
