tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
441,2018-07-02 08:46:26.343000,2018-07-02 08:53:47.354000,7,Fan Pier,42.3533905070523,-71.04457139968872,23,Boston City Hall - 28 State St,42.35892,-71.057629,3163,Subscriber,1981,1
474,2018-07-02 18:25:13.550000,2018-07-02 18:33:08.432000,23,Boston City Hall - 28 State St,42.35892,-71.057629,7,Fan Pier,42.3533905070523,-71.04457139968872,343,Subscriber,1981,1
475,2018-07-03 08:12:03.432000,2018-07-03 08:19:58.912000,7,Fan Pier,42.3533905070523,-71.04457139968872,23,Boston City Hall - 28 State St,42.35892,-71.057629,3247,Subscriber,1981,1
475,2018-07-03 15:03:13.483000,2018-07-03 15:11:09.091000,23,Boston City Hall - 28 State St,42.35892,-71.057629,7,Fan Pier,42.3533905070523,-71.04457139968872,2446,Subscriber,1981,1
315,2018-07-03 08:44:47.768000,2018-07-03 08:50:03.209000,150,State Street at Channel Center,42.344137,-71.052608,161,W Broadway at D St,42.3391085,-71.0514432,2429,Subscriber,1978,1
210,2018-07-03 17:21:42.268000,2018-07-03 17:25:12.497000,161,W Broadway at D St,42.3391085,-71.0514432,150,State Street at Channel Center,42.344137,-71.052608,3045,Subscriber,1978,1
759,2018-07-03 09:10:04.146000,2018-07-03 09:22:43.844000,186,Congress St at Northern Ave,42.3481,-71.03764,47,Cross St at Hanover St,42.362811,-71.056067,2804,Subscriber,1977,1
796,2018-07-03 15:10:14.540000,2018-07-03 15:23:31.472000,47,Cross St at Hanover St,42.362811,-71.056067,186,Congress St at Northern Ave,42.3481,-71.03764,3104,Subscriber,1977,1
778,2018-07-10 09:30:38.041000,2018-07-10 09:43:36.530000,186,Congress St at Northern Ave,42.3481,-71.03764,47,Cross St at Hanover St,42.362811,-71.056067,2910,Subscriber,1977,1
797,2018-07-10 17:32:37.149000,2018-07-10 17:45:54.826000,47,Cross St at Hanover St,42.362811,-71.056067,186,Congress St at Northern Ave,42.3481,-71.03764,2095,Subscriber,1977,1
625,2018-07-12 09:14:04.201000,2018-07-12 09:24:29.913000,186,Congress St at Northern Ave,42.3481,-71.03764,47,Cross St at Hanover St,42.362811,-71.056067,3186,Subscriber,1977,1
